,tot_med,tot_lo,tot_hi,type,age_group
symp,5157648.697,4005614.841,6291885.587,symptomatic,"[0,10)"
asymp,4680238.563,3546001.673,5832272.419,asymptomatic,"[0,10)"
df_hosp,202377.4901,144716.6016,285189.0799,hospitalisation,"[0,10)"
df_hosp_acute,84745.5314,59536.51387,120254.884,hospitalisation_acute,"[0,10)"
df_hosp_chronic_6m,39453.27883,27716.16039,55620.2008,hospitalisation_chronic6m,"[0,10)"
df_hosp_chronic_12m,17061.15408,11567.04145,25387.64962,hospitalisation_chronic12m,"[0,10)"
df_hosp_chronic_30m,1375.363593,558.3216293,2790.369599,hospitalisation_chronic30m,"[0,10)"
df_hosp_subac,59700.70409,42821.31315,83721.24798,hospitalisation_subacute,"[0,10)"
df_hosp_fatal,5032.810095,2978.371583,8514.849349,fatal,"[0,10)"
df_nonhosp,4945329.027,3857750.824,6031116.148,nonhospitalisation,"[0,10)"
df_nonhosp_acute,2058220.612,1598375.943,2571305.563,nonhosp_acute,"[0,10)"
df_nonhosp_chronic_6m,965653.3355,744207.3856,1185260.611,nonhosp_chronic_6m,"[0,10)"
df_nonhosp_chronic_12m,421087.1155,296151.3148,549296.26,nonhosp_chronic_12m,"[0,10)"
df_nonhosp_chronic_30m,32972.44759,14501.55479,65591.02429,nonhosp_chronic_30m,"[0,10)"
df_nonhosp_subac,1459479.125,1130698.606,1776020.739,nonhosp_subac,"[0,10)"
df_yld_hosp_chronic,12233.50749,4387.121274,25315.7956,yld_hosp_chronic,"[0,10)"
df_yld_hosp_acute,267.2174106,103.1979154,666.3980321,yld_hosp_acute,"[0,10)"
df_yld_hosp_subac,2010.440499,691.5763691,5598.732831,yld_hosp_subac,"[0,10)"
df_yld_nh_chronic,294395.6219,105254.1951,575663.0803,yld_nh_chronic,"[0,10)"
df_yld_nh_acute,6509.905497,2579.835379,15245.26409,yld_nh_acute,"[0,10)"
df_yld_nh_subac,48610.81734,17185.09357,132361.3158,yld_nh_subac,"[0,10)"
df_yld_acute,6753.734207,2685.517415,15833.69148,yld_acute,"[0,10)"
df_yld_subac,50875.99774,17936.06041,138003.0562,yld_subac,"[0,10)"
df_yld_chronic,306766.9892,109886.6686,597503.6131,yld_chronic,"[0,10)"
df_yll,356890.1933,194606.0631,658616.3864,yll,"[0,10)"
df_daly,743754.1044,434835.3823,1172555.441,daly,"[0,10)"
symp1,4086513.78,3173733.074,4985193.574,symptomatic,"[10,20)"
asymp1,3708251.657,2809571.864,4621032.363,asymptomatic,"[10,20)"
df_hosp1,160347.9515,114662.0137,225961.3195,hospitalisation,"[10,20)"
df_hosp_acute1,67145.6709,47172.03497,95280.47946,hospitalisation_acute,"[10,20)"
df_hosp_chronic_6m1,31259.6645,21960.0981,44069.05754,hospitalisation_chronic6m,"[10,20)"
df_hosp_chronic_12m1,13517.91202,9164.810723,20115.16993,hospitalisation_chronic12m,"[10,20)"
df_hosp_chronic_30m1,1089.729564,442.369995,2210.868664,hospitalisation_chronic30m,"[10,20)"
df_hosp_subac1,47302.12633,33928.22896,66334.10952,hospitalisation_subacute,"[10,20)"
df_hosp_fatal1,2900.265138,1921.647269,4376.165481,fatal,"[10,20)"
df_nonhosp1,3918288.431,3056577.294,4778580.451,nonhospitalisation,"[10,20)"
df_nonhosp_acute1,1630771.578,1266426.952,2037299.596,nonhosp_acute,"[10,20)"
df_nonhosp_chronic_6m1,765107.4923,589651.1993,939106.9653,nonhosp_chronic_6m,"[10,20)"
df_nonhosp_chronic_12m1,333636.1971,234646.9295,435219.0052,nonhosp_chronic_12m,"[10,20)"
df_nonhosp_chronic_30m1,26124.76527,11489.88745,51969.15096,nonhosp_chronic_30m,"[10,20)"
df_nonhosp_subac1,1156376.075,895876.34,1407178.667,nonhosp_subac,"[10,20)"
df_yld_hosp_chronic1,9692.865853,3476.008643,20058.23857,yld_hosp_chronic,"[10,20)"
df_yld_hosp_acute1,211.7219866,81.76588397,528.0012083,yld_hosp_acute,"[10,20)"
df_yld_hosp_subac1,1592.914382,547.950534,4435.994023,yld_hosp_subac,"[10,20)"
