,tot_med,tot_lo,tot_hi,type,age_group
symp,1847226.853,1431898.818,2256170.712,symptomatic,"[0,10)"
asymp,1676348.638,1267404.779,2091676.673,asymptomatic,"[0,10)"
df_hosp,73327.63141,50972.89406,99878.76122,hospitalisation,"[0,10)"
df_hosp_acute,30597.61657,21084.45425,41747.6405,hospitalisation_acute,"[0,10)"
df_hosp_chronic_6m,14239.69308,9785.003054,19491.6742,hospitalisation_chronic6m,"[0,10)"
df_hosp_chronic_12m,6197.228441,4028.351619,8838.829259,hospitalisation_chronic12m,"[0,10)"
df_hosp_chronic_30m,486.0186841,202.6809644,1026.091503,hospitalisation_chronic30m,"[0,10)"
df_hosp_subac,21610.86704,14994.77135,29508.90622,hospitalisation_subacute,"[0,10)"
df_hosp_fatal,1838.739621,1044.073411,2998.765888,fatal,"[0,10)"
df_nonhosp,1773480.048,1380808.295,2165788.487,nonhospitalisation,"[0,10)"
df_nonhosp_acute,739919.1363,568348.0594,918534.5455,nonhosp_acute,"[0,10)"
df_nonhosp_chronic_6m,343990.9831,266768.8764,428324.4777,nonhosp_chronic_6m,"[0,10)"
df_nonhosp_chronic_12m,149660.2879,107972.6718,199176.373,nonhosp_chronic_12m,"[0,10)"
df_nonhosp_chronic_30m,11820.65217,5238.886962,23913.08604,nonhosp_chronic_30m,"[0,10)"
df_nonhosp_subac,522726.3293,407152.6114,641616.0813,nonhosp_subac,"[0,10)"
df_yld_hosp_chronic,4318.779004,1428.101221,8991.195659,yld_hosp_chronic,"[0,10)"
df_yld_hosp_acute,95.91084625,37.06558545,236.7138259,yld_hosp_acute,"[0,10)"
df_yld_hosp_subac,715.0059052,232.837098,1931.491021,yld_hosp_subac,"[0,10)"
df_yld_nh_chronic,105703.5562,37632.68489,210907.7722,yld_nh_chronic,"[0,10)"
df_yld_nh_acute,2293.056875,949.0381659,5340.842293,yld_nh_acute,"[0,10)"
df_yld_nh_subac,17430.74877,5651.907581,47260.65775,yld_nh_subac,"[0,10)"
df_yld_acute,2395.193623,987.6870992,5563.771263,yld_acute,"[0,10)"
df_yld_subac,18188.62087,5840.1021,49130.44537,yld_subac,"[0,10)"
df_yld_chronic,110013.5749,39150.18064,220664.7727,yld_chronic,"[0,10)"
df_yll,130411.7218,69370.8764,231734.7801,yll,"[0,10)"
df_daly,267699.0538,159753.9819,418900.5812,daly,"[0,10)"
symp1,1596826.897,1237798.456,1950336.567,symptomatic,"[10,20)"
asymp1,1449111.998,1095602.329,1808140.439,asymptomatic,"[10,20)"
df_hosp1,63387.73929,44063.2877,86339.74333,hospitalisation,"[10,20)"
df_hosp_acute1,26449.97124,18226.36109,36088.55897,hospitalisation_acute,"[10,20)"
df_hosp_chronic_6m1,12309.43827,8458.601629,16849.48959,hospitalisation_chronic6m,"[10,20)"
df_hosp_chronic_12m1,5357.166094,3482.290335,7640.685967,hospitalisation_chronic12m,"[10,20)"
df_hosp_chronic_30m1,420.1366529,175.2066428,887.000159,hospitalisation_chronic30m,"[10,20)"
df_hosp_subac1,18681.41626,12962.16227,25508.8405,hospitalisation_subacute,"[10,20)"
df_hosp_fatal1,1136.767895,756.4507822,1684.070922,fatal,"[10,20)"
df_nonhosp1,1533076.805,1193633.485,1872206.061,nonhospitalisation,"[10,20)"
df_nonhosp_acute1,639619.7504,491305.909,794023.033,nonhosp_acute,"[10,20)"
df_nonhosp_chronic_6m1,297361.4493,230607.1485,370263.1573,nonhosp_chronic_6m,"[10,20)"
df_nonhosp_chronic_12m1,129373.1589,93336.48774,172177.1147,nonhosp_chronic_12m,"[10,20)"
df_nonhosp_chronic_30m1,10218.3093,4528.732138,20671.55907,nonhosp_chronic_30m,"[10,20)"
df_nonhosp_subac1,451868.4108,351961.2332,554642.1193,nonhosp_subac,"[10,20)"
df_yld_hosp_chronic1,3733.348974,1234.51564,7772.39842,yld_hosp_chronic,"[10,20)"
df_yld_hosp_acute1,82.90969723,32.0411777,204.6261962,yld_hosp_acute,"[10,20)"
df_yld_hosp_subac1,618.0836206,201.2749757,1669.668676,yld_hosp_subac,"[10,20)"
df_yld_nh_chronic1,91374.96105,32531.40423,182318.2697,yld_nh_chronic,"[10,20)"
df_yld_nh_acute1,1982.222643,820.3917497,4616.866959,yld_nh_acute,"[10,20)"
df_yld_nh_subac1,15067.93194,4885.765934,40854.26183,yld_nh_subac,"[10,20)"
df_yld_acute1,2070.514293,853.8016453,4809.576899,yld_acute,"[10,20)"
df_yld_subac1,15723.07104,5048.449833,42470.59128,yld_subac,"[10,20)"
df_yld_chronic1,95100.73724,33843.19657,190752.6647,yld_chronic,"[10,20)"
df_yll1,69740.80699,42196.886,114324.1766,yll,"[10,20)"
df_daly1,188584.4629,111857.7921,304553.149,daly,"[10,20)"
symp2,1386115.427,1074463.074,1692977.246,symptomatic,"[20,30)"
asymp2,1257892.448,951030.629,1569544.801,asymptomatic,"[20,30)"
df_hosp2,55023.32373,38248.8565,74946.66481,hospitalisation,"[20,30)"
df_hosp_acute2,22959.72923,15821.27678,31326.444,hospitalisation_acute,"[20,30)"
df_hosp_chronic_6m2,10685.12956,7342.435319,14626.09223,hospitalisation_chronic6m,"[20,30)"
df_hosp_chronic_12m2,4650.253937,3022.779966,6632.448839,hospitalisation_chronic12m,"[20,30)"
df_hosp_chronic_30m2,364.6969482,152.0870114,769.954843,hospitalisation_chronic30m,"[20,30)"
df_hosp_subac2,16216.28451,11251.72247,22142.78668,hospitalisation_subacute,"[20,30)"
