study_no,country,region,location,lat,long,mfoi,mfoi_lo,mfoi_hi,epimodel,model,cat,seroprevalence,cat_val
345,Brazil,LAC, São Francisco Valley,-20.05003459,-50.7660177,0.01131,0.009548,0.01329,0,constant,3,1.13%,0.01 -  0.1
249_12,India,SA,Rajasthan,26.88367811,73.54776289,0.00830575,0.006763189,0.010065606,0,constant,2,0.83%,0.001 -  0.01
170,Ethiopia,SSA,Gambella,8.247336488,34.5914837,0.004,0.002432976,0.006839111,0,constant,2,0.40%,0.001 -  0.01
243,Brazil,LAC,Cruzeiro do Sul ,-7.679236687,-72.6799529,0.003843,0.002791,0.005134,0,constant,2,0.38%,0.001 -  0.01
318,Italy,ECA,EmiliaRomagna Region,44.64726113,11.77474108,0.00224413,0.001520005,0.003168983,0,constant,2,0.22%,0.001 -  0.01
75,Malaysia,EAP,Malaysia,5.417828749,101.9506794,0.00133798,0.001043489,0.001685352,0,constant,2,0.13%,0.001 -  0.01
249_8,India,SA,Odisha,20.39925091,84.34565046,0.00109497,0.000653012,0.001708393,0,constant,2,0.11%,0.001 -  0.01
341,Malaysia,EAP,Kuala Lumpur,3.142616357,101.6818343,0.0010419,0.000828937,0.001288001,0,constant,2,0.10%,0.001 -  0.01
341,Malaysia,EAP,Negeri Sembilan,2.869810679,102.2182356,0.0010419,0.000828937,0.001288001,0,constant,2,0.10%,0.001 -  0.01
341,Malaysia,EAP,Pahang,3.944380524,102.452915,0.0010419,0.000828937,0.001288001,0,constant,2,0.10%,0.001 -  0.01
341,Malaysia,EAP,Selangor,3.508934789,101.52893,0.0010419,0.000828937,0.001288001,0,constant,2,0.10%,0.001 -  0.01
213,Qatar,ME,Doha,25.31820541,51.50252794,0.00104066,0.000468497,0.001963318,0,constant,2,0.10%,0.001 -  0.01
306,Senegal,SSA,Dagana,16.27689359,-15.9312084,0.001,0.000777442,0.001448933,0,constant,2,0.10%,0.001 -  0.01
306,Senegal,SSA,Kanel,15.48843418,-13.1752923,0.001,0.000777442,0.001448933,0,constant,2,0.10%,0.001 -  0.01
306,Senegal,SSA,Pété,16.10601949,-13.9477229,0.001,0.000777442,0.001448933,0,constant,2,0.10%,0.001 -  0.01
306,Senegal,SSA,Podor,16.66039648,-14.9590234,0.001,0.000777442,0.001448933,0,constant,2,0.10%,0.001 -  0.01
306,Senegal,SSA,Ranérou,15.28657572,-13.9607861,0.001,0.000777442,0.001448933,0,constant,2,0.10%,0.001 -  0.01
494,Gabon,SSA,Lambaréné (2014-2017),-0.620336589,10.30540536,0.11284815,0.069610666,0.196581851,3,epidemic,4,10.67%,>  0.1
237,Kenya,SSA,Lamu Island,-2.288278186,40.86840583,0.06527182,0.042470543,0.120171722,4,epidemic,3,6.32%,0.01 -  0.1
32,Iran,ME,Tehran,35.73165343,51.32286515,0.05867739,0.044293391,0.109410004,2,epidemic,3,5.70%,0.01 -  0.1
146,Myanmar,EAP,Mandalay,21.9619928,96.0888654,0.04986449,0.02903309,0.08153756,4,epidemic,3,4.86%,0.01 -  0.1
146,Myanmar,EAP,Myeik,12.45263088,98.62750307,0.04986449,0.02903309,0.08153756,4,epidemic,3,4.86%,0.01 -  0.1
146,Myanmar,EAP,Yangon,16.85990901,96.17462273,0.04986449,0.02903309,0.08153756,4,epidemic,3,4.86%,0.01 -  0.1
249_11,India,SA,Tamil Nadu,11.52130587,78.62412501,0.04121113,0.018661893,0.078697962,3,epidemic,3,4.04%,0.01 -  0.1
249_14,India,SA,Maharashtra,19.32499729,75.62304817,0.03813081,0.020822925,0.070398792,3,epidemic,3,3.74%,0.01 -  0.1
249_9,India,SA,Andhra Pradesh,14.8350043,78.99804694,0.03551243,0.023050059,0.076208496,3,epidemic,3,3.49%,0.01 -  0.1
149,Ethiopia,SSA,South Omo Zone,5.780819457,36.57177948,0.03077884,0.019471685,0.069637108,2,epidemic,3,3.03%,0.01 -  0.1
450_2,India,SA,Pune (2019),18.5304046,73.85814038,0.03007595,0.02188895,0.048633267,3,epidemic,3,2.96%,0.01 -  0.1
279,Cameroon,SSA,Kumbo,6.224574216,10.67702191,0.02975951,0.020418517,0.043065488,4,epidemic,3,2.93%,0.01 -  0.1
